iter	Passed	Remaining
639	936983	1991089
640	938196	1989094
641	939464	1987215
642	940729	1985333
643	942309	1984118
644	943583	1982256
645	944953	1980599
646	946322	1978940
647	947725	1977353
648	949067	1975640
649	950186	1973465
650	951517	1971731
651	952900	1970107
652	954124	1968156
653	955434	1966382
654	956702	1964526
655	958037	1962808
656	959374	1961095
657	960783	1959531
658	962028	1957632
659	963384	1955962
660	964706	1954224
661	965904	1952235
662	967230	1950507
663	968497	1948664
664	969858	1947008
665	971309	1945536
666	972502	1943547
667	973825	1941819
668	975286	1940368
669	976548	1938521
670	977839	1936735
671	979107	1934902
672	980279	1932884
673	981707	1931371
674	982968	1929530
675	984344	1927917
676	985725	1926314
677	987251	1924995
678	988665	1923456
679	990159	1922074
680	991473	1920343
681	992910	1918849
682	994229	1917130
683	995462	1915246
684	996727	1913424
685	998144	1911897
686	999465	1910187
687	1000678	1908270
688	1002123	1906797
689	1003475	1905148
690	1004842	1903530
691	1006151	1901800
692	1007458	1900069
693	1008668	1898157
694	1010051	1896570
695	1011289	1894714
696	1012593	1892983
697	1013878	1891217
698	1015080	1889299
699	1016372	1887548
700	1017673	1885816
701	1018959	1884058
702	1020450	1882680
703	1021743	1880937
704	1023013	1879151
705	1024274	1877353
706	1025587	1875650
707	1027113	1874337
708	1028314	1872432
709	1029637	1870749
710	1031009	1869157
711	1032357	1867522
712	1033747	1865964
713	1035142	1864415
714	1036346	1862525
715	1037721	1860941
716	1039164	1859480
717	1040550	1857918
718	1041904	1856300
719	1043201	1854580
720	1044386	1852663
721	1045651	1850889
722	1047052	1849358
723	1048299	1847555
724	1049654	1845943
725	1051052	1844409
726	1052437	1842852
727	1053699	1841079
728	1054952	1839292
729	1056324	1837715
730	1057486	1835772
731	1058703	1833928
732	1059992	1832211
733	1061277	1830487
734	1062460	1828587
735	1063754	1826882
736	1065052	1825185
737	1066340	1823471
738	1067638	1821776
739	1068950	1820105
740	1070201	1818330
741	1071581	1816778
742	1072805	1814961
743	1074037	1813159
744	1075350	1811495
745	1076732	1809949
746	1078202	1808551
747	1079497	1806858
748	1080800	1805181
749	1082099	1803498
750	1083384	1801793
751	1084729	1800189
752	1086030	1798512
753	1087494	1797105
754	1088732	1795326
755	1090071	1793716
756	1091462	1792189
757	1092816	1790604
758	1094249	1789147
759	1095507	1787407
760	1096893	1785874
761	1098155	1784142
762	1099481	1782515
763	1100750	1780794
764	1101922	1778920
765	1103148	1777134
766	1104349	1775310
767	1105735	1773783
768	1107158	1772318
769	1108494	1770711
770	1109787	1769038
771	1111189	1767539
772	1112627	1766098
773	1113950	1764474
774	1115465	1763154
775	1116809	1761565
776	1118167	1759999
777	1119545	1758463
778	1120988	1757030
779	1122310	1755408
